,index,STATION,DIVISION,DATETIME,HOUR,WEEKDAY,dow,UNIQUEID,ENTRYDIFF,EXITDIFF,TRAFFIC,DURATION,AVG_TRAFFIC
115,19616,JAY ST-METROTEC,BMT,2018-05-18 04:00:00,6,Friday,4,JAY ST-METROTEC_R089_C003_00-00-02,3.0,5.0,8.0,4.0,2.0
116,19617,JAY ST-METROTEC,BMT,2018-05-18 08:00:00,10,Friday,4,JAY ST-METROTEC_R089_C003_00-00-02,5.0,10.0,15.0,4.0,3.75
117,19618,JAY ST-METROTEC,BMT,2018-05-18 12:00:00,14,Friday,4,JAY ST-METROTEC_R089_C003_00-00-02,72.0,71.0,143.0,4.0,35.75
118,19619,JAY ST-METROTEC,BMT,2018-05-18 16:00:00,18,Friday,4,JAY ST-METROTEC_R089_C003_00-00-02,139.0,67.0,206.0,4.0,51.5
119,19620,JAY ST-METROTEC,BMT,2018-05-18 20:00:00,10,Friday,4,JAY ST-METROTEC_R089_C003_00-00-02,167.0,43.0,210.0,4.0,52.5
120,19623,JAY ST-METROTEC,BMT,2018-05-12 08:00:00,10,Saturday,5,JAY ST-METROTEC_R089_C003_00-03-00,3.0,8.0,11.0,-156.0,-0.07051282051282051
121,19625,JAY ST-METROTEC,BMT,2018-05-12 16:00:00,18,Saturday,5,JAY ST-METROTEC_R089_C003_00-03-00,7.0,32.0,39.0,8.0,4.875
122,19626,JAY ST-METROTEC,BMT,2018-05-12 20:00:00,22,Saturday,5,JAY ST-METROTEC_R089_C003_00-03-00,17.0,40.0,57.0,4.0,14.25
123,19627,JAY ST-METROTEC,BMT,2018-05-13 00:00:00,2,Sunday,6,JAY ST-METROTEC_R089_C003_00-03-00,3.0,12.0,15.0,4.0,3.75
124,19629,JAY ST-METROTEC,BMT,2018-05-13 08:00:00,10,Sunday,6,JAY ST-METROTEC_R089_C003_00-03-00,2.0,7.0,9.0,8.0,1.125
125,19630,JAY ST-METROTEC,BMT,2018-05-13 12:00:00,14,Sunday,6,JAY ST-METROTEC_R089_C003_00-03-00,2.0,28.0,30.0,4.0,7.5
126,19631,JAY ST-METROTEC,BMT,2018-05-13 16:00:00,18,Sunday,6,JAY ST-METROTEC_R089_C003_00-03-00,7.0,22.0,29.0,4.0,7.25
127,19632,JAY ST-METROTEC,BMT,2018-05-13 20:00:00,22,Sunday,6,JAY ST-METROTEC_R089_C003_00-03-00,5.0,26.0,31.0,4.0,7.75
128,19633,JAY ST-METROTEC,BMT,2018-05-14 00:00:00,2,Monday,0,JAY ST-METROTEC_R089_C003_00-03-00,1.0,17.0,18.0,4.0,4.5
129,19635,JAY ST-METROTEC,BMT,2018-05-14 08:00:00,10,Monday,0,JAY ST-METROTEC_R089_C003_00-03-00,2.0,53.0,55.0,8.0,6.875
130,19636,JAY ST-METROTEC,BMT,2018-05-14 12:00:00,14,Monday,0,JAY ST-METROTEC_R089_C003_00-03-00,22.0,179.0,201.0,4.0,50.25
131,19637,JAY ST-METROTEC,BMT,2018-05-14 16:00:00,18,Monday,0,JAY ST-METROTEC_R089_C003_00-03-00,47.0,83.0,130.0,4.0,32.5
132,19638,JAY ST-METROTEC,BMT,2018-05-14 20:00:00,22,Monday,0,JAY ST-METROTEC_R089_C003_00-03-00,76.0,71.0,147.0,4.0,36.75
133,19639,JAY ST-METROTEC,BMT,2018-05-15 00:00:00,2,Tuesday,1,JAY ST-METROTEC_R089_C003_00-03-00,18.0,24.0,42.0,4.0,10.5
134,19640,JAY ST-METROTEC,BMT,2018-05-15 04:00:00,6,Tuesday,1,JAY ST-METROTEC_R089_C003_00-03-00,2.0,3.0,5.0,4.0,1.25
135,19641,JAY ST-METROTEC,BMT,2018-05-15 08:00:00,10,Tuesday,1,JAY ST-METROTEC_R089_C003_00-03-00,9.0,56.0,65.0,4.0,16.25
